time, temperature, dwpf, humidity, direction, speed, precipitation, pressure,total count,arrest rate,sex offense,theft,assault and battery,burglary,robbery,substance,homicide,gambling,prostitution,arson,domestic violence,others
5/21/01,61.58333333,54.375,77.98041667,223.5483871,11.32258065,0,28.89,2,1,2,2,2,1,2,1,1,1,2,1,1,1
5/22/01,53.29166667,41.75,67.21916667,235.8333333,10.33333333,0,29.04833333,1,2,2,1,1,1,2,1,1,1,1,2,1,1
5/23/01,53.04166667,45.25,76.49708333,175.483871,8.032258065,0,29.01041667,1,2,1,2,1,1,1,1,1,2,1,1,1,1
5/24/01,52.95833333,46.125,79.17833333,105.3333333,4.733333333,0,29.09625,1,2,2,2,2,1,1,2,1,1,2,1,1,1
5/25/01,52.58333333,44.79166667,75.92125,168.8,4.44,0,29.135,2,2,2,1,1,2,1,2,1,2,2,2,1,2
5/26/01,51.875,49.125,90.57416667,190.5555556,11.91666667,0,28.98083333,1,1,2,1,1,2,1,2,1,1,2,2,1,1
5/27/01,54.58333333,49.79166667,84.17875,211.1538462,5.653846154,0,29.11875,1,2,2,1,1,2,1,1,1,2,2,1,1,1
5/28/01,59.5,52,77.29291667,102.2222222,2.777777778,0,29.29458333,1,2,2,1,2,1,1,1,1,1,2,2,1,1
5/29/01,56.33333333,42.54166667,60.93125,74.16666667,9.458333333,0,29.45666667,2,2,1,2,2,1,2,2,1,2,2,2,1,2
5/30/01,54.70833333,35.875,50.29666667,73.33333333,9.041666667,0,29.49833333,1,2,2,2,2,1,1,1,1,2,2,2,1,1
5/31/01,55.125,48.375,80.46375,115.5,7.65,0.076666667,29.16291667,1,2,1,2,1,1,1,1,2,1,1,1,1,1
6/1/01,57.83333333,50.33333333,77.31291667,253.5714286,10.71428571,0.01,28.91916667,2,1,2,2,1,1,2,1,2,2,1,2,1,2
6/2/01,53.75,47.33333333,79.21791667,276.1290323,9.451612903,0,28.98791667,2,1,1,1,2,1,2,1,2,1,1,2,1,2
6/3/01,52,45.04166667,77.19125,95.76923077,6.576923077,0,29.27375,1,2,1,1,1,2,1,1,1,2,2,1,1,1
6/4/01,51.29166667,45.66666667,81.41,53.84615385,9.153846154,0.05,29.38916667,2,2,1,2,1,1,2,2,2,2,1,1,1,2
6/5/01,55.83333333,55,97.07291667,100.4761905,8.166666667,0.061111111,29.35291667,1,2,1,1,1,2,1,1,2,1,1,2,1,1
6/6/01,59.16666667,56.375,90.69,93.79310345,6.172413793,0,29.38333333,2,2,1,2,1,1,1,1,2,2,2,2,1,1
6/7/01,60.375,54.33333333,81.04458333,28.8,3.64,0,29.39916667,1,2,2,2,2,2,1,2,2,1,2,1,1,1
6/8/01,66.08333333,51.25,59.73166667,55,3.791666667,0,29.39333333,2,1,1,2,2,1,1,1,1,2,1,1,1,2
6/9/01,73.16666667,56.375,56.8875,237.0833333,6.458333333,0,29.29166667,2,1,1,2,2,1,1,1,2,2,2,2,1,1
6/10/01,77.58333333,63.625,63.6075,220.8333333,10.41666667,0,29.13958333,2,1,1,1,2,2,2,1,1,2,2,2,1,1
6/11/01,77.91666667,66.125,69.46666667,124.8,6.64,0.0725,29.13375,2,2,1,2,2,1,1,2,2,2,2,1,1,2
